사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
20-Oct,7호선,487,중화,15,0,"8,105","1,061","13,273","3,897","33,363","7,306","43,317","21,376","24,433","9,860","15,368","8,010","13,582","8,641","14,086","9,593","13,699","10,372","12,263","11,566","12,034","14,295","13,783","16,781","16,231","21,929","17,711","35,193","11,010","30,897","6,944","18,398","6,495","16,783","4,621","15,373","1,939","10,008",8,971,1,10,0,0,0,0
20-Oct,7호선,488,상봉(시외버스터미널),326,6,"10,355","1,558","17,275","6,733","46,784","12,838","63,567","31,500","33,420","19,861","19,519","13,520","18,264","13,499","19,652","15,673","20,006","17,661","19,043","17,949","19,835","20,359","23,178","24,101","29,036","33,192","31,858","53,788","21,737","48,953","15,997","27,619","15,098","23,334","11,512","19,914","5,427","14,171",64,"1,530",6,14,0,0,0,0
20-Oct,7호선,489,면목,37,0,"12,472","1,020","20,312","5,788","52,058","8,631","66,620","23,267","36,432","13,970","21,744","12,910","19,616","12,915","20,126","14,618","19,728","15,733","18,185","16,705","17,831","20,626","19,329","27,453","20,027","33,659","20,252","50,784","15,993","46,857","9,691","27,153","7,913","24,243","6,169","20,829","2,465","13,766",14,"1,295",1,14,0,0,0,0
20-Oct,7호선,490,사가정,4,0,"10,724","1,514","20,063","6,759","50,502","11,117","64,886","24,357","37,516","14,692","23,086","14,112","20,566","14,380","22,121","15,456","21,194","16,603","19,881","18,232","19,513","23,426","21,115","28,522","23,742","36,332","23,693","58,487","17,201","51,278","12,406","29,034","11,198","24,112","8,454","21,428","3,836","13,264",20,"1,472",4,2,0,0,0,0
20-Oct,7호선,491,용마산(용마폭포공원),8,0,"4,652",697,"9,498","2,842","21,412","3,889","26,805","10,002","14,794","6,482","8,384","5,899","7,828","5,177","7,677","5,529","7,347","6,001","7,020","6,617","6,512","8,078","7,762","9,217","7,856","11,588","7,780","19,332","4,841","17,683","2,882","10,142","2,517","9,636","1,754","8,688",823,"5,295",2,612,0,4,0,0,0,0
20-Oct,7호선,492,중곡,4,0,"5,185",551,"11,340","4,477","28,565","9,438","41,434","17,425","24,086","8,895","13,997","7,647","12,480","7,880","12,991","8,474","12,627","9,432","11,628","10,032","11,331","12,955","15,964","14,746","14,603","18,865","13,351","29,189","9,261","26,185","5,800","14,844","4,768","13,700","3,862","12,386","1,518","7,985",5,231,2,4,0,0,0,0
20-Oct,7호선,493,군자(능동),25,2,"7,922",957,"12,520","6,329","30,508","7,584","52,063","22,734","33,710","13,982","17,820","9,529","15,370","9,783","15,763","10,110","16,790","11,055","15,317","12,047","16,026","15,194","18,098","16,914","22,622","23,423","28,691","38,312","18,276","31,348","14,471","17,926","13,756","15,833","11,329","14,641","5,263","9,053",30,577,2,11,0,2,0,0
20-Oct,7호선,494,어린이대공원(세종대),12,0,"3,395","1,032","6,579","8,582","15,296","13,380","27,390","39,892","19,240","22,953","11,386","15,891","11,012","14,430","14,758","16,035","15,214","18,519","15,182","16,669","18,415","16,681","23,618","15,566","32,390","18,457","34,198","25,572","17,463","20,716","13,231","12,797","13,070","11,581","13,194","10,697","6,159","7,797",12,372,3,4,0,0,0,0
20-Oct,7호선,495,건대입구,15,1,"4,092",917,"4,262","6,393","11,363","16,074","17,362","29,561","13,631","23,787","10,714","16,600","11,662","15,334","13,217","18,451","14,378","20,465","15,981","19,749","19,891","19,508","23,228","20,040","32,238","25,476","32,974","37,271","22,774","26,743","24,915","13,923","20,893","11,941","18,904","9,465","9,106","6,246",25,"2,653",9,10,0,1,0,0
20-Oct,7호선,496,뚝섬유원지,10,0,"4,286",549,"7,760","3,574","18,640","5,556","27,050","11,084","17,708","8,046","9,836","6,558","8,099","8,157","8,462","10,375","8,956","12,230","9,246","14,615","10,665","16,680","13,735","16,618","17,708","20,507","19,017","27,325","13,394","21,258","11,315","12,720","10,893","11,675","8,344","9,939","3,720","5,529",25,362,9,7,0,0,0,0
20-Oct,7호선,497,청담,23,0,"2,259","3,501","5,942","24,427","8,978","53,927","12,447","132,556","10,275","86,536","9,852","34,169","12,444","19,839","15,443","17,646","16,231","20,200","19,009","17,672","26,464","15,645","33,582","15,804","53,873","17,973","99,427","18,886","52,434","12,721","29,867","8,514","27,071","7,796","21,773","4,818","5,629","3,422",17,"2,137",2,2,0,3,0,0
20-Oct,7호선,498,강남구청,9,0,"1,565","1,515","3,476","10,937","6,435","28,470","7,945","93,568","7,078","85,841","7,229","31,709","9,405","20,312","11,080","17,653","13,303","19,762","16,408","15,452","21,715","14,486","24,637","14,971","38,901","16,584","76,198","18,345","46,324","12,440","28,153","7,477","28,050","6,068","21,531","4,358","7,426","3,746",23,464,1,4,0,2,0,0
20-Oct,7호선,499,학동,6,0,"2,245","2,016","4,630","21,732","7,506","47,090","10,017","163,224","9,289","122,327","9,402","41,648","11,770","22,463","14,134","18,507","16,708","21,488","21,799","19,470","26,652","17,071","32,690","16,617","61,539","17,911","141,899","18,153","69,542","12,038","34,926","7,357","31,988","6,045","23,898","4,314","7,970","3,303",39,287,0,1,0,0,0,0
20-Oct,7호선,500,논현,25,1,"2,863","1,255","4,827","15,664","8,416","41,707","14,358","107,234","12,452","89,776","10,664","35,416","12,434","21,269","14,147","20,378","16,360","22,381","19,770","21,211","23,627","19,752","28,875","20,792","50,753","26,393","93,145","33,547","53,514","21,945","34,453","11,931","35,471","9,305","32,248","7,383","14,226","5,223",58,511,2,4,0,2,0,0
20-Oct,7호선,501,반포,4,0,974,634,"2,798","6,049","7,426","11,475","9,779","19,073","6,723","15,511","4,703","7,927","5,036","8,302","6,341","8,208","7,027","8,024","7,168","7,197","9,265","7,036","12,694","7,156","14,385","8,423","16,249","10,092","11,099","6,661","8,604","3,961","9,070","3,290","7,556","3,208","1,886","1,997",7,150,0,2,0,1,0,0
20-Oct,7호선,502,고속터미널,32,1,"1,075","2,660","2,682","20,630","9,266","33,682","15,186","47,818","17,331","32,716","16,875","22,560","20,097","19,597","20,606","19,578","22,389","22,608","23,415","20,811","31,154","16,189","33,461","16,043","48,752","17,536","49,345","18,977","31,266","13,106","32,890","7,822","28,296","7,549","23,653","3,855","6,862","2,605",38,262,3,0,0,0,0,0
20-Oct,7호선,503,내방,4,0,"2,296","1,390","6,541","10,365","15,329","21,479","25,163","71,644","16,911","39,738","12,410","16,696","12,778","13,361","13,701","13,159","15,775","15,162","15,520","14,804","17,425","14,975","21,494","15,778","33,428","19,255","63,862","27,079","24,238","19,034","16,412","11,239","16,169","9,588","12,505","8,087","3,875","5,010",15,"2,409",2,4,0,2,0,0
20-Oct,7호선,504,이수,23,0,"4,741","1,159","7,635","8,687","23,482","12,706","38,214","37,884","24,301","25,868","16,509","16,426","16,043","15,326","17,709","16,572","19,244","18,518","19,658","18,417","20,785","20,548","23,445","23,719","27,743","30,967","39,975","49,541","23,073","35,213","21,069","19,050","21,356","16,225","19,566","13,497","9,675","8,632",42,833,11,3,0,0,0,0
20-Oct,7호선,505,남성,3,0,"5,726",748,"11,541","4,062","34,873","5,861","51,798","13,672","29,045","9,354","16,815","8,906","14,436","8,609","14,165","9,689","14,288","11,128","12,724","11,718","12,420","14,900","12,709","17,385","13,849","22,802","14,553","38,237","8,685","29,693","7,564","17,899","7,264","15,943","5,195","14,502","2,145","9,266",29,692,4,8,1,1,0,0
20-Oct,7호선,506,숭실대입구(살피재),12,0,"5,417",825,"10,411","3,500","33,093","7,485","45,944","18,246","25,015","15,348","15,782","12,306","14,686","12,999","16,025","13,660","16,247","14,787","14,744","15,607","14,470","16,690","17,465","19,997","21,341","25,661","18,748","40,654","11,925","32,715","10,117","19,831","10,467","17,955","8,947","16,471","4,295","11,236",23,"1,042",2,5,0,0,0,0
20-Oct,7호선,507,상도,3,0,"4,256","1,431","9,451","6,192","27,606","7,704","38,136","15,455","22,201","12,833","14,098","9,299","12,643","8,458","13,127","9,675","13,016","11,086","12,361","10,982","12,220","12,863","14,870","14,982","17,152","20,386","17,460","32,750","9,535","26,068","7,647","16,249","7,526","14,193","7,098","13,219","3,325","8,907",17,678,0,0,0,0,0,0
20-Oct,7호선,508,장승배기,9,0,"6,440",943,"10,418","4,062","27,264","7,931","39,865","15,949","23,691","9,690","14,031","8,832","12,132","8,940","12,505","9,363","13,392","10,373","11,812","10,870","11,137","13,606","12,495","14,815","13,378","20,420","15,480","31,373","8,314","25,421","6,720","15,016","6,299","14,066","5,410","12,072","2,013","8,354",12,712,1,11,0,1,0,0
20-Oct,7호선,509,신대방삼거리,19,0,"9,557","1,342","15,527","7,681","45,137","12,089","70,784","28,595","38,032","17,373","21,957","12,866","19,609","11,987","20,690","13,278","19,898","14,813","17,901","16,515","17,877","19,500","20,719","22,814","22,586","31,583","27,599","55,950","15,038","44,625","11,485","26,281","9,436","23,159","8,061","21,029","3,481","14,149",16,"1,182",1,11,0,1,0,0
20-Oct,7호선,510,보라매,25,0,"5,956","1,203","7,498","6,191","20,635","16,593","30,296","36,228","17,653","12,967","10,468","7,690","10,477","7,570","11,393","9,380","10,889","9,829","11,043","9,415","14,160","9,610","14,554","11,536","18,028","16,280","29,512","26,299","11,169","21,144","8,025","12,367","6,739","10,648","5,425","9,643","2,113","6,580",9,808,2,4,0,0,0,0
20-Oct,7호선,511,신풍,73,0,"10,061","1,526","13,838","5,686","35,416","10,356","44,356","18,987","25,749","11,060","15,478","9,275","13,215","9,138","14,291","10,128","13,835","10,809","12,782","10,928","12,759","14,028","14,327","17,088","17,036","24,458","18,525","36,043","10,290","27,698","7,273","16,494","6,084","16,241","4,257","14,316","1,799","8,536",11,"1,680",2,3,0,0,0,0
20-Oct,7호선,512,대림(구로구청),33,0,"11,906",969,"7,603","3,983","13,865","5,952","18,571","16,173","14,466","12,153","11,031","13,052","11,162","13,882","12,345","12,733","13,129","12,870","13,414","12,927","14,175","13,879","14,934","15,055","16,600","21,650","18,299","23,549","11,464","15,043","9,081","10,461","7,393","12,105","5,625","9,274","2,734","4,986",28,297,3,5,0,0,0,0
20-Oct,7호선,513,남구로,11,2,"18,382","1,856","14,438","6,306","27,799","27,144","30,311","91,547","20,533","44,803","14,277","16,842","13,013","14,037","13,772","13,338","13,778","13,905","13,544","13,600","14,678","15,188","17,311","19,700","34,725","32,902","70,751","31,177","31,818","21,353","17,826","14,094","12,841","15,172","8,266","13,422","3,090","7,260",37,489,1,11,0,1,0,0
20-Oct,7호선,514,가산디지털단지,628,5,"7,416","5,283","8,207","19,625","18,941","101,745","21,626","338,709","16,916","198,449","15,518","55,071","20,423","36,104","25,971","34,287","30,446","36,284","35,971","33,510","44,902","30,664","59,078","28,567","157,875","29,169","288,224","33,331","124,980","23,468","68,913","13,398","57,011","10,708","30,882","9,797","10,479","6,200",98,937,3,6,0,2,0,0
20-Oct,7호선,515,철산,9,0,"10,206","4,378","24,898","9,377","74,962","14,379","81,605","31,523","41,957","23,842","26,261","18,916","25,066","18,660","26,430","20,644","26,028","23,308","23,424","24,171","24,474","27,605","27,969","32,622","33,017","49,896","32,877","84,491","20,796","71,228","18,169","37,427","17,828","30,769","15,240","28,208","6,557","16,599",107,"3,231",3,5,0,2,0,0
20-Oct,7호선,516,광명사거리,239,0,"21,443","5,446","28,629","11,923","73,313","15,985","88,041","28,816","45,778","23,806","29,628","20,168","27,664","22,925","30,147","25,716","30,143","26,611","27,944","27,307","28,309","32,458","31,403","38,530","35,500","51,042","32,886","80,712","21,176","63,639","16,590","35,852","12,679","31,672","9,274","26,413","3,665","15,731",90,"2,475",3,10,0,3,0,0
20-Oct,7호선,517,천왕,58,0,"6,378","1,048","13,735","4,342","40,817","6,868","51,022","14,478","25,708","7,243","13,643","6,385","12,031","7,209","12,501","9,012","12,433","10,045","11,701","10,093","11,582","12,289","13,243","15,066","12,523","20,148","11,987","38,915","6,744","32,586","4,758","18,173","3,772","15,390","2,998","12,837","1,031","8,043",27,"1,269",1,8,0,2,0,0
20-Oct,7호선,518,온수(성공회대입구),105,1,"7,230","1,039","14,119","3,917","44,952","10,221","52,871","15,828","22,556","9,334","12,268","6,793","11,148","6,552","11,948","8,106","11,144","8,300","9,739","9,135","10,375","10,660","14,581","12,625","13,942","19,245","13,074","38,771","6,121","30,956","4,514","17,325","4,143","15,992","2,797","13,144","1,203","9,643",24,"3,564",0,5,0,10,0,0
20-Oct,7호선,519,까치울,0,0,"3,853",815,"9,513","4,050","27,398","5,476","35,898","9,459","16,610","5,143","9,745","4,862","8,668","6,741","9,243","7,693","9,528","7,518","8,975","7,818","9,203","7,626","10,582","11,498","11,125","17,243","10,153","27,216","6,312","23,177","4,849","15,067","3,802","11,736","2,580","10,699",907,"6,312",2,21,0,4,0,0,0,0
20-Oct,7호선,520,부천종합운동장,24,0,"2,854",859,"5,356","2,588","14,978","5,321","18,254","11,129","9,198","4,315","5,369","3,604","5,342","3,299","5,447","3,301","4,902","4,069","4,372","3,806","4,575","4,322","5,769","4,787","7,350","7,190","9,867","11,802","4,000","10,676","2,714","6,175","2,191","5,142","1,487","4,262",571,"3,146",3,39,2,6,0,0,0,0
20-Oct,7호선,521,춘의,0,0,"4,376","1,303","8,434","5,744","21,586","24,980","23,318","44,982","12,611","15,864","8,806","7,504","8,290","5,899","8,568","6,501","8,920","7,498","8,304","6,542","8,473","7,845","10,830","8,787","24,222","11,994","37,379","18,244","14,920","17,018","10,022","10,492","7,820","9,433","4,289","7,636","1,303","5,576",2,105,0,2,0,0,0,0
20-Oct,7호선,522,신중동,0,0,"5,160","1,937","14,432","5,163","40,886","13,711","40,080","39,980","20,256","23,228","15,002","13,199","14,622","11,584","15,541","13,645","15,660","14,907","15,288","14,002","16,360","15,983","18,560","18,004","24,377","24,707","38,030","40,897","17,044","39,253","17,771","19,127","10,995","16,303","9,381","14,338","4,045","11,478",14,498,0,7,0,0,0,0
20-Oct,7호선,523,부천시청,12,0,"5,070","2,148","14,056","6,188","38,299","12,233","37,898","23,104","18,004","17,826","12,330","11,713","12,908","11,468","13,791","13,353","13,842","15,209","13,438","14,595","15,709","16,415","18,525","17,669","22,157","22,990","23,875","38,893","15,291","36,762","15,366","18,550","12,859","14,322","10,530","12,136","3,297","9,467",18,833,4,3,0,0,0,0
20-Oct,7호선,524,상동,8,1,"4,004","1,682","14,146","4,979","35,051","10,596","32,697","25,458","16,209","25,086","12,036","13,380","13,279","14,253","14,826","15,722","14,920","17,460","15,318","17,524","17,196","16,961","19,870","18,660","22,568","25,623","28,134","38,491","16,634","35,308","13,960","18,383","15,607","13,990","14,060","12,001","4,984","8,861",34,"1,475",3,2,0,0,0,0
20-Oct,7호선,525,삼산체육관,14,1,"2,657",292,"8,786","1,288","21,221","2,852","19,319","5,833","9,249","2,834","6,016","2,302","6,159","2,955","5,871","3,771","5,308","4,118","5,381","4,448","5,240","5,204","6,484","6,781","5,696","9,224","5,254","15,674","3,142","14,388","2,023","8,798","1,725","7,114","1,286","6,325",605,"4,175",7,"1,000",0,1,0,0,0,0
20-Oct,7호선,526,굴포천,6,0,"5,938",571,"13,363","3,478","32,339","4,485","33,368","10,602","17,233","7,611","10,568","6,398","10,116","6,450","10,597","7,902","10,250","8,500","9,278","9,368","9,108","9,609","10,113","13,903","11,174","19,108","12,481","32,958","7,127","32,337","5,685","18,466","5,306","14,678","4,437","12,479","2,077","7,864",51,"1,628",1,7,0,0,0,0
20-Oct,7호선,527,부평구청,58,0,"7,971",691,"19,890","4,953","55,795","8,914","48,012","11,977","22,815","5,973","13,130","4,984","11,665","5,337","12,059","6,248","11,392","7,852","9,863","7,825","9,648","9,124","10,774","12,085","15,421","16,966","14,256","32,716","8,196","34,608","6,336","20,996","5,086","16,283","3,725","14,557","1,248","10,123",7,"2,112",1,12,0,3,0,0
20-Oct,8호선,528,암사,22,0,"13,570","1,062","22,865","5,887","71,537","8,601","92,396","16,803","45,576","12,432","25,111","10,596","22,232","12,000","22,691","14,847","21,952","14,456","19,490","18,279","18,045","22,861","19,216","26,447","20,317","38,796","21,429","65,085","12,449","51,399","9,221","30,166","8,049","27,736","5,671","24,628","2,108","13,906",6,"2,106",0,5,0,6,0,0
20-Oct,8호선,529,천호(풍납토성),38,0,"10,784","1,702","15,304","10,040","38,263","13,759","52,161","26,255","31,358","23,095","17,858","16,442","17,493","17,155","19,532","19,323","20,031","21,346","19,282","21,856","19,700","26,824","21,916","30,859","26,325","41,123","29,831","63,686","19,635","46,304","17,513","26,521","13,621","23,249","10,654","19,328","4,389","12,196",30,"1,987",5,14,0,0,0,0
20-Oct,8호선,530,강동구청,35,0,"4,299",922,"9,939","4,638","27,679","12,284","36,373","31,408","20,616","12,674","12,545","8,948","11,625","9,089","11,972","8,906","12,179","10,952","11,553","11,141","11,456","12,250","13,502","15,486","16,441","19,947","25,270","31,816","9,998","24,633","6,981","14,553","5,984","12,218","4,281","12,248","1,619","6,250",7,857,0,5,0,0,0,0
20-Oct,8호선,531,몽촌토성(평화의문),5,0,"1,437",973,"3,066","5,433","8,816","8,028","12,605","22,511","7,783","13,225","5,082","7,774","5,306","8,160","6,224","7,935","6,845","8,027","7,820","8,185","9,087","7,839","12,807","8,019","16,012","9,314","20,315","12,601","8,453","9,219","6,300","5,962","5,798","4,896","4,330","4,723","1,890","2,257",2,269,1,4,0,0,0,0
20-Oct,8호선,532,잠실(송파구청),1,0,"1,342","1,860","3,473","8,625","7,111","23,467","11,896","63,642","9,124","36,150","8,119","20,943","10,655","22,614","12,836","24,469","15,416","25,133","18,666","25,000","23,387","25,959","28,030","25,050","38,217","28,137","56,335","35,552","33,217","20,484","30,126","10,708","26,446","7,814","19,955","5,484","6,197","3,327",24,632,1,2,0,0,0,0
20-Oct,8호선,533,석촌,0,0,"3,039",608,"5,152","3,637","14,125","6,966","20,842","19,934","12,077","15,703","8,442","9,523","8,630","10,060","9,220","11,389","9,693","11,889","9,568","11,666","10,110","13,314","11,490","13,717","13,506","18,506","18,399","25,874","9,950","18,524","8,382","10,548","8,583","9,387","7,386","7,615","2,717","5,077",13,648,1,5,0,0,0,0
20-Oct,8호선,534,송파,1,0,"2,430",535,"7,727","4,023","23,813","10,027","28,479","17,525","15,586","9,137","11,117","6,824","11,057","6,842","10,553","8,375","10,384","8,997","10,309","8,813","11,366","10,350","12,614","12,427","12,274","16,433","14,961","24,956","7,682","20,430","5,229","11,052","4,390","10,110","3,369","8,362","1,334","5,806",8,693,0,7,0,0,0,0
20-Oct,8호선,535,가락시장,13,0,"2,625","2,327","4,858","5,809","8,845","12,378","11,650","33,603","8,758","16,364","8,859","12,567","9,829","11,228","9,927","10,141","10,683","10,747","11,436","11,177","13,147","10,635","13,299","12,650","16,897","14,303","25,652","19,617","11,506","14,582","9,739","8,720","10,376","7,490","8,397","5,997","3,258","3,985",4,"1,848",2,1,0,2,0,0
20-Oct,8호선,536,문정,5,0,"1,882","2,411","5,764","9,852","19,731","39,900","27,639","144,550","17,387","69,393","13,241","24,985","14,502","14,926","15,611","15,523","18,222","18,116","20,601","15,973","23,265","17,135","26,962","18,385","58,445","21,296","109,796","29,217","40,845","23,199","25,772","13,201","22,771","11,172","17,139","10,345","4,762","5,812",8,162,1,2,0,0,0,0
20-Oct,8호선,537,장지,1,0,"4,646","2,006","14,052","8,721","41,709","21,451","49,280","44,462","26,236","28,967","16,601","19,874","16,298","17,675","18,503","21,239","19,552","18,599","19,060","20,372","21,269","23,881","27,671","25,102","35,462","30,000","46,447","45,723","27,177","32,346","20,732","18,398","19,630","16,140","13,520","14,563","3,394","9,373",7,117,2,5,0,0,0,0
20-Oct,8호선,538,복정,4,0,"3,757","2,245","9,215","8,736","26,662","11,251","35,022","18,385","20,375","12,488","12,190","8,813","11,324","8,074","11,642","9,555","11,524","8,972","11,030","9,007","12,572","10,722","16,032","12,154","22,502","17,974","25,238","29,018","15,035","21,334","9,606","13,764","7,403","11,788","6,168","11,131","2,062","5,400",16,696,0,0,0,0,0,0
20-Oct,8호선,539,산성,14,8,"5,398",734,"9,842","2,413","25,378","4,272","30,268","10,485","16,924","7,501","10,798","7,732","9,533","6,504","10,422","7,248","9,819","7,549","9,664","7,380","10,313","9,685","11,258","12,163","11,596","15,223","9,445","24,098","5,129","21,932","3,320","13,698","2,691","12,456","1,811","11,888",866,"6,280",7,"1,163",0,5,0,0,0,0
20-Oct,8호선,540,남한산성입구(성남법원.검찰청),13,1,"8,940","1,385","17,958","4,567","43,283","11,015","57,771","24,833","29,236","16,812","18,967","12,822","17,885","10,837","18,328","13,362","18,013","14,285","17,583","13,159","17,440","16,339","18,717","19,717","21,849","23,444","22,905","38,875","11,460","34,380","7,210","20,111","5,571","19,304","3,791","18,384","1,415","9,954",11,"1,814",3,5,0,0,0,0
20-Oct,8호선,541,단대오거리,14,0,"7,530","2,139","13,094","6,629","30,509","9,047","36,064","16,811","19,974","8,534","13,404","6,825","12,645","7,564","13,388","8,670","12,959","8,808","11,654","9,855","11,251","12,996","12,997","15,974","16,341","19,103","19,403","30,133","10,432","25,852","6,322","16,189","5,099","14,134","3,748","12,919","1,365","8,001",7,"1,375",0,7,0,0,0,0
20-Oct,8호선,542,신흥,0,0,"3,488",679,"5,052","2,799","11,369","2,820","14,126","5,920","8,450","4,449","6,129","4,793","5,802","4,865","6,180","5,378","6,361","6,020","6,275","6,817","6,626","7,816","7,147","8,786","7,805","10,655","7,546","15,031","4,449","12,325","3,611","8,082","2,801","7,021","2,308","5,550",848,"3,474",15,520,1,5,0,0,0,0
20-Oct,8호선,543,수진,2,0,"3,523",347,"5,562","2,293","14,032","3,217","18,801","8,687","9,823","4,488","7,215","4,574","6,603","4,961","7,395","5,402","6,973","8,231","6,375","7,409","7,592","7,123","9,619","7,583","9,298","9,005","7,739","13,039","4,118","11,022","3,130","6,829","2,423","6,608","1,888","5,831",719,"3,506",12,528,0,4,0,0,0,0
20-Oct,8호선,544,모란,6,0,"1,889",569,"2,956","2,726","7,544","3,629","9,633","7,216","6,488","4,855","5,876","5,334","6,658","5,795","7,475","5,726","7,866","6,582","8,387","6,444","9,772","6,208","10,522","6,650","9,491","7,073","9,186","8,741","5,507","6,191","3,682","3,725","3,620","3,843","3,260","3,123","1,698","1,705",4,355,2,6,0,1,0,0
20-Oct,9호선,601,개화,8,1,"1,985",285,"4,933","2,192","10,491","3,100","7,123","5,529","3,296","2,715","2,471","1,989","2,408","2,434","2,239","2,400","2,343","2,285","2,483","2,066","2,842","2,486","4,353","2,300","5,838","3,093","6,443","4,593","2,816","4,621","1,900","2,763","1,714","2,088",534,"1,733",186,"1,162",4,184,0,1,0,0,0,0
20-Oct,9호선,602,김포공항,26,0,"1,227","1,410","3,104","10,557","7,269","16,640","9,159","21,982","8,996","18,650","8,941","18,585","10,947","19,847","10,321","20,310","12,154","24,605","15,026","22,853","17,549","20,504","14,726","23,636","19,022","26,794","21,184","27,680","17,029","18,105","16,186","7,675","16,727","3,760","10,760","2,855","1,034","1,867",15,726,0,4,0,0,0,0
20-Oct,9호선,603,공항시장,0,0,"2,851",167,"4,000","1,107","8,196","1,738","8,326","3,477","4,961","2,703","4,018","3,030","4,151","3,014","4,062","3,250","4,214","3,400","3,915","3,766","4,003","4,420","3,970","5,445","3,973","6,683","3,842","9,008","2,492","8,794","2,092","5,482","1,800","4,546","1,189","4,363",542,"3,244",0,373,0,3,0,0,0,0
20-Oct,9호선,604,신방화,2,0,"4,207",741,"9,821","2,460","24,102","4,281","23,041","9,832","12,907","5,468","9,316","4,844","8,151","5,446","8,983","6,665","8,765","6,997","7,757","6,759","8,140","9,457","9,433","10,123","8,387","12,997","9,216","21,455","5,026","18,456","4,217","11,055","3,246","9,961","2,526","8,572",851,"5,907",5,178,0,5,0,0,0,0
20-Oct,9호선,605,마곡나루(서울식물원),4,0,"3,494",777,"8,082","5,950","24,190","9,755","25,141","32,327","12,415","16,496","9,071","10,235","9,472","8,918","10,788","9,994","11,258","10,461","11,447","11,128","12,911","11,524","15,856","12,717","23,624","18,310","32,132","29,343","15,197","27,018","12,245","15,826","12,247","13,107","10,473","12,519","4,542","9,323",98,637,1,7,0,0,0,0
20-Oct,9호선,606,양천향교,0,0,"3,934",826,"8,284","4,727","25,571","8,740","26,220","29,792","13,309","14,411","9,876","7,750","9,825","7,738","11,519","8,622","10,967","8,420","10,437","9,432","11,370","9,547","13,036","10,703","17,425","14,881","26,212","23,503","10,790","23,540","6,547","14,225","5,631","11,735","4,104","11,836","1,530","8,796",6,145,2,9,0,0,0,0
20-Oct,9호선,607,가양,14,0,"13,178","1,802","21,536","9,820","63,464","21,644","64,357","37,429","36,822","23,051","26,853","14,681","26,449","16,549","26,829","16,804","25,937","20,401","23,597","21,610","24,707","24,483","28,766","29,444","33,744","36,654","39,356","60,079","18,921","53,517","13,357","31,963","11,141","29,223","8,072","26,343","2,538","17,358",9,991,4,13,0,0,0,0
20-Oct,9호선,608,증미,1,0,"1,974",816,"6,393","2,493","17,777","6,925","18,209","29,662","9,289","10,112","7,302","6,269","7,799","5,630","7,862","6,339","7,958","6,838","7,746","7,112","8,341","8,596","8,886","8,790","12,511","10,494","25,998","18,006","8,262","15,998","5,222","7,793","4,582","7,397","3,207","6,070","1,063","3,980",2,150,0,0,0,0,0,0
20-Oct,9호선,609,등촌,8,0,"4,404",872,"11,632","3,597","34,717","6,486","41,709","16,009","19,043","9,915","14,043","7,535","13,140","8,450","13,824","9,812","13,215","11,058","12,292","11,343","12,595","14,597","13,355","16,669","14,248","22,236","17,138","34,069","8,454","31,529","6,345","16,890","5,403","13,701","4,323","12,725","1,744","8,704",5,48,1,11,0,0,0,0
20-Oct,9호선,610,염창,13,0,"10,101",592,"22,394","4,322","64,298","7,367","74,434","20,778","38,782","11,146","23,281","9,142","20,245","9,512","20,768","12,513","20,221","13,727","16,844","14,771","16,129","19,093","16,661","23,149","20,296","36,254","23,711","62,875","12,574","57,053","9,553","34,381","8,474","28,871","6,041","27,704","2,099","20,219",12,743,4,12,0,0,0,0
20-Oct,9호선,611,신목동,2,0,"1,629",274,"5,072","1,697","16,184","2,641","15,937","5,187","7,426","2,559","4,895","2,016","4,420","2,558","4,571","2,766","4,473","3,512","3,753","3,290","4,030","3,693","4,701","5,185","5,640","7,228","5,323","12,333","2,692","10,285","1,831","5,975","1,827","5,628","1,670","5,285",481,"3,483",3,115,0,3,0,0,0,0
20-Oct,9호선,612,선유도,6,0,"1,519",965,"4,246","4,133","16,572","10,363","18,639","33,504","8,408","13,730","5,708","6,003","6,084","6,629","7,118","6,379","7,124","7,150","7,361","7,468","8,166","7,552","11,209","8,140","17,064","9,989","30,659","16,692","11,492","13,204","6,611","7,059","5,592","5,849","4,163","5,382","1,602","3,491",3,112,0,5,0,0,0,0
