사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
20-Oct,2호선,35,방배,11,0,"2,652","3,548","8,632","12,767","20,880","25,687","28,727","68,752","23,561","41,905","17,049","21,698","17,527","18,578","19,071","19,969","21,718","21,808","22,466","20,585","25,664","21,634","30,360","22,251","41,087","28,353","64,054","36,796","27,612","26,770","19,334","17,009","19,328","15,495","17,174","15,302","6,002","8,605",11,46,4,6,0,0,0,0
20-Oct,2호선,36,사당,123,5,"11,954","3,772","22,868","28,206","65,150","39,721","91,587","60,956","66,057","47,710","41,116","39,444","37,739","42,464","44,346","44,037","46,750","44,980","47,619","45,540","48,438","54,415","54,159","70,134","65,006","99,991","85,223","149,365","58,413","106,935","51,992","62,177","56,420","56,989","55,511","54,711","26,638","35,251",61,"3,254",17,21,0,5,0,0
20-Oct,2호선,37,낙성대(강감찬),58,10,"10,896","1,977","23,151","8,860","70,864","17,373","112,337","33,825","72,253","29,888","38,801","23,781","33,050","21,116","35,765","23,674","36,125","26,588","32,781","28,324","33,670","33,280","35,606","39,067","42,031","54,220","46,278","89,568","27,569","79,062","20,661","51,607","19,472","46,021","16,217","46,387","6,794","27,090",21,"2,320",5,26,0,2,0,0
20-Oct,2호선,38,서울대입구(관악구청),"3,904",19,"27,391","2,452","39,269","13,537","113,572","27,661","170,405","59,210","109,765","58,405","60,304","46,531","54,065","42,325","59,222","46,538","60,996","53,144","58,411","53,941","62,511","59,862","67,909","71,301","75,508","96,440","85,711","160,444","51,936","137,097","42,738","82,001","43,507","75,616","41,115","71,666","17,033","45,236",34,"14,062",10,50,0,14,0,0
20-Oct,2호선,39,봉천,87,0,"14,778","1,531","25,535","6,454","74,160","12,273","110,989","23,471","66,300","19,063","35,652","17,740","29,431","18,612","31,356","20,705","30,889","22,714","27,168","24,769","26,694","32,770","28,696","35,808","29,008","49,675","31,735","79,217","18,638","66,042","14,829","42,118","13,261","37,944","10,527","35,562","3,935","22,432",11,794,3,17,1,1,0,0
20-Oct,2호선,40,신림,357,30,"37,958","4,676","69,706","19,787","186,562","30,436","279,951","56,301","167,023","49,396","90,969","40,709","75,991","43,388","80,603","49,362","76,641","57,764","71,124","63,856","68,757","78,967","76,193","93,716","81,266","135,725","84,279","228,967","56,735","204,694","46,456","131,544","44,278","119,965","39,329","108,270","17,971","76,922",58,"1,140",20,51,0,0,0,0
20-Oct,2호선,41,신대방,142,3,"23,885","2,324","32,768","9,434","80,035","16,846","116,759","30,754","71,662","19,997","40,670","16,921","33,254","17,859","33,083","21,139","32,128","23,833","28,168","26,469","27,616","35,274","30,832","41,073","34,294","58,082","39,771","86,053","22,597","74,376","16,739","50,013","12,438","52,856","10,142","48,882","4,241","30,755",20,264,3,24,0,0,0,0
20-Oct,2호선,42,구로디지털단지,272,3,"37,732","6,764","49,233","22,401","125,002","72,106","167,507","229,960","105,952","137,429","60,736","54,489","54,377","42,983","59,165","44,195","61,032","51,706","56,111","53,827","58,284","61,373","70,148","70,342","120,063","101,832","207,237","152,855","105,463","125,329","60,695","78,967","50,724","76,603","39,513","72,850","15,388","46,708",41,443,11,31,1,2,0,0
20-Oct,2호선,43,대림(구로구청),646,21,"34,782","3,695","27,392","10,761","60,423","20,821","86,280","55,588","58,473","35,172","34,870","29,173","30,142","30,132","32,778","29,453","32,467","30,575","30,049","31,669","31,286","38,794","34,219","42,646","42,472","61,597","55,026","70,525","27,930","50,825","19,902","35,656","15,474","43,291","11,725","41,616","5,127","21,529",25,957,0,11,0,4,0,0
20-Oct,2호선,44,신도림,"3,796",24,"34,234","5,233","44,676","17,521","117,516","36,887","122,304","103,230","78,900","63,413","52,255","57,090","51,942","53,418","60,018","56,514","62,912","59,331","61,691","58,970","64,083","66,208","71,494","75,434","90,313","98,483","121,432","153,179","72,692","117,739","58,381","68,164","57,765","61,535","41,479","61,183","17,580","44,719",76,"13,181",6,43,1,14,0,0
